,Uniprot,RNA tissue specific nTPM,Tissue expression cluster,entry name,protein_names,tissue_specificity,value
10,P07101,adrenal gland: 190.6;brain: 130.3,Cluster 49: Pituitary gland - Hormone signaling,TY3H_HUMAN,Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH),TISSUE SPECIFICITY: Mainly expressed in the brain and adrenal glands.,0.00087
11,P19013,esophagus: 19104.8,Cluster 29: Squamous epithelium - Innate immune response,K2C4_HUMAN,"Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)","TISSUE SPECIFICITY: Detected in the suprabasal layer of the stratified epithelium of the esophagus, exocervix, vagina, mouth and lingual mucosa, and in cells and cell clusters in the mucosa and serous gland ducts of the esophageal submucosa (at protein level). Expressed widely in the exocervix and esophageal epithelium, with lowest levels detected in the basal cell layer. {ECO:0000269|PubMed:2452170}.",0.00096
12,P54868,liver: 2359.8,Cluster 83: Liver - Metabolism,HMCS2_HUMAN,"Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)","TISSUE SPECIFICITY: Expression in liver is 200-fold higher than in any other tissue. Low expression in colon, kidney, testis, and pancreas. Very low expression in heart and skeletal muscle (PubMed:16940161, PubMed:21952825, PubMed:7893153). Not detected in brain (PubMed:21952825). {ECO:0000269|PubMed:16940161, ECO:0000269|PubMed:21952825, ECO:0000269|PubMed:7893153}.; TISSUE SPECIFICITY: [Isoform 3]: Highest expression detected in heart and skeletal muscle. {ECO:0000269|PubMed:21952825}.",0.00099
13,Q14982,brain: 36.6;parathyroid gland: 10.0;retina: 11.0,Cluster 22: Brain - Synaptic signal transduction,OPCM_HUMAN,Opioid-binding protein/cell adhesion molecule (OBCAM) (OPCML) (Opioid-binding cell adhesion molecule) (IgLON family member 1),,0.00132
14,P16519,adrenal gland: 27.6;retina: 34.7;thyroid gland: 55.2,Cluster 17: Neuronal - Synaptic function,NEC2_HUMAN,Neuroendocrine convertase 2 (NEC 2) (EC 3.4.21.94) (KEX2-like endoprotease 2) (Prohormone convertase 2) (Proprotein convertase 2) (PC2),,0.00159
15,O15240,brain: 75.2;pituitary gland: 51.7,Cluster 33: Brain - Neuronal signaling,VGF_HUMAN,Neurosecretory protein VGF [Cleaved into: Neuroendocrine regulatory peptide-1 (NERP-1); Neuroendocrine regulatory peptide-2 (NERP-2); VGF-derived peptide TLQP-21; VGF-derived peptide TLQP-62; Antimicrobial peptide VGF[554-577]],"TISSUE SPECIFICITY: Central and peripheral nervous systems, synthesized exclusively in neuronal and neuroendocrine cells. {ECO:0000269|PubMed:19194657}.",0.00202
16,Q8N3J6,brain: 50.2;retina: 92.0,Cluster 17: Neuronal - Synaptic function,CADM2_HUMAN,Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D) (Nectin-like protein 3) (NECL-3) (Synaptic cell adhesion molecule 2) (SynCAM 2),,0.00916
17,O14594,brain: 102.1,Cluster 61: Brain - Neuronal signaling,NCAN_HUMAN,Neurocan core protein (Chondroitin sulfate proteoglycan 3),TISSUE SPECIFICITY: Detected in cerebrospinal fluid (at protein level) (PubMed:25326458). Brain. {ECO:0000269|PubMed:25326458}.,0.01211
18,Q12860,brain: 125.0,Cluster 64: Neuronal - Transcription,CNTN1_HUMAN,Contactin-1 (Glycoprotein gp135) (Neural cell surface protein F3),"TISSUE SPECIFICITY: Strongly expressed in brain and in neuroblastoma and retinoblastoma cell lines. Lower levels of expression in lung, pancreas, kidney and skeletal muscle. {ECO:0000269|PubMed:2026173, ECO:0000269|PubMed:8164510}.",0.03504
19,Q96GW7,brain: 245.5,Cluster 33: Brain - Neuronal signaling,PGCB_HUMAN,Brevican core protein (Brain-enriched hyaluronan-binding protein) (BEHAB) (Chondroitin sulfate proteoglycan 7),"TISSUE SPECIFICITY: Expressed in the retina, specifically in the inner nuclear layer, inner plexiform layer and ganglion cell layer (at protein level) (PubMed:29777959). Detected in cerebrospinal fluid (at protein level) (PubMed:25326458). Detected in urine (at protein level) (PubMed:37453717). {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:29777959, ECO:0000269|PubMed:37453717}.",0.07755
