S12A2_HUMAN	P55011
TBB6_HUMAN	Q9BUF5
TTC37_HUMAN	Q6PGP7
DPYL1_HUMAN	Q14194
DPYL5_HUMAN	Q9BPU6
UCP4_HUMAN	O95847
MTMR5_HUMAN	O95248
ANM8_HUMAN	Q9NR22
CTNB1_HUMAN	P35222
AP1B1_HUMAN;AP2B1_HUMAN	Q10567
MYLK_HUMAN	Q15746
NIPBL_HUMAN	Q6KC79
PALM_HUMAN	O75781
ABCF1_HUMAN	Q8NE71
THIM_HUMAN	P42765
ICAM5_HUMAN	Q9UMF0
SRC_HUMAN	P12931
ITB8_HUMAN	P26012
WIPI2_HUMAN	Q9Y4P8
CY1_HUMAN	P08574
RB3GP_HUMAN	Q15042
SPB1_HUMAN	Q8IY81
HYOU1_HUMAN	Q9Y4L1
LAMA2_HUMAN	P24043
STK24_HUMAN	Q9Y6E0
LYN_HUMAN	P07948
SMG8_HUMAN	Q8ND04
PLXD1_HUMAN	Q9Y4D7
TRMB_HUMAN	Q9UBP6
COR1A_HUMAN	P31146
NIBA2_HUMAN	Q96TA1
FUND1_HUMAN	Q8IVP5
GCDH_HUMAN	Q92947
IPYR_HUMAN	Q15181
S27A3_HUMAN	Q5K4L6
NU214_HUMAN	P35658
PDK3_HUMAN	Q15120
CO6A3_HUMAN	P12111
KPYR_HUMAN	P30613
PP2BB_HUMAN	P16298
BAG3_HUMAN	O95817
PI51C_HUMAN	O60331
NFASC_HUMAN	O94856
C1TC_HUMAN	P11586
DCUP_HUMAN	P06132
PRP6_HUMAN	O94906
SOX10_HUMAN	P56693
HXK1_HUMAN	P19367
DYST_HUMAN	Q03001
NCLN_HUMAN	Q969V3
BAIP2_HUMAN	Q9UQB8
F162A_HUMAN	Q96A26
VPS53_HUMAN	Q5VIR6
A2MG_HUMAN	P01023
C170B_HUMAN	Q9Y4F5
ADAS_HUMAN	O00116
H2AY_HUMAN	O75367
BACH_HUMAN	O00154
CHAP1_HUMAN	Q96JM3
GBG7_HUMAN	O60262
CSTN1_HUMAN	O94985
PARP9_HUMAN	Q8IXQ6
ITSN1_HUMAN	Q15811
CBARP_HUMAN	Q8N350
ANXA4_HUMAN	P09525
PGBM_HUMAN	P98160
SYVC_HUMAN	P26640
IF4B_HUMAN	P23588
SP16H_HUMAN	Q9Y5B9
MOC2B_HUMAN	O96007
GOGA3_HUMAN	Q08378
ANR24_HUMAN	Q8TF21
MBOA7_HUMAN	Q96N66
INF2_HUMAN	Q27J81
SYNPO_HUMAN	Q8N3V7
MAT1_HUMAN	P51948
SHC3_HUMAN	Q92529
SHAN2_HUMAN	Q9UPX8
BRD4_HUMAN	O60885
TRM6_HUMAN	Q9UJA5
MPRIP_HUMAN	Q6WCQ1
TMOD2_HUMAN	Q9NZR1
RUSF1_HUMAN	Q96GQ5
KAP3_HUMAN	P31323
NNTM_HUMAN	Q13423
KAP2_HUMAN	P13861
MYO5A_HUMAN	Q9Y4I1
ACOT1_HUMAN	Q86TX2
AGRL3_HUMAN	Q9HAR2
BYST_HUMAN	Q13895
T22D4_HUMAN	Q9Y3Q8
OPHN1_HUMAN	O60890
DYHC1_HUMAN	Q14204
CSPG2_HUMAN	P13611
F177A_HUMAN	Q8N128
B2L13_HUMAN	Q9BXK5
SC23A_HUMAN	Q15436
APOE_HUMAN	P02649
ASGL1_HUMAN	Q7L266
MROH1_HUMAN	Q8NDA8
BGH3_HUMAN	Q15582
HNRPC_HUMAN	P07910
PCP4_HUMAN	P48539
UBA1_HUMAN	P22314
ADHX_HUMAN	P11766
ETFA_HUMAN	P13804
SEPT8_HUMAN	Q92599
CH60_HUMAN	P10809
TBCC_HUMAN	Q15814
IMB1_HUMAN	Q14974
PEX5R_HUMAN	Q8IYB4
PSMD1_HUMAN	Q99460
EWS_HUMAN	Q01844
EDC3_HUMAN	Q96F86
CO6A2_HUMAN	P12110
SPTA1_HUMAN	P02549
DDX21_HUMAN	Q9NR30
HEM2_HUMAN	P13716
WDR7_HUMAN	Q9Y4E6
IDUA_HUMAN	P35475
HS12A_HUMAN	O43301
COIA1_HUMAN	P39060
ENOA_HUMAN;ENOB_HUMAN;ENOG_HUMAN	P06733
ENOB_HUMAN;ENOG_HUMAN	P13929
ENOG_HUMAN	P09104
ENOA_HUMAN	P06733
TLN2_HUMAN	Q9Y4G6
PSN1_HUMAN	P49768
MUTA_HUMAN	P22033
DNLI3_HUMAN	P49916
CO3_HUMAN	P01024
UMPS_HUMAN	P11172
WDR47_HUMAN	O94967
FLOT1_HUMAN	O75955
RBP1_HUMAN	Q15311
YKT6_HUMAN	O15498
LMNA_HUMAN	P02545
ADT2_HUMAN	P05141
ADT1_HUMAN;ADT3_HUMAN	P12235
R113A_HUMAN	O15541
NDUV1_HUMAN	P49821
NCAM2_HUMAN	O15394
CHD4_HUMAN	Q14839
ANXA1_HUMAN	P04083
PFKAM_HUMAN	P08237
SYRC_HUMAN	P54136
UBP15_HUMAN	Q9Y4E8
GBB1_HUMAN	P62873
PGK1_HUMAN	P00558
PGK2_HUMAN	P07205
TRIM2_HUMAN	Q9C040
ADCY1_HUMAN	Q08828
ESYT2_HUMAN	A0FGR8
HEBP1_HUMAN	Q9NRV9
GBB2_HUMAN	P62879
VAT1_HUMAN	Q99536
PUR6_HUMAN	P22234
MYO5A_HUMAN;MYO5B_HUMAN	Q9Y4I1
CP4FB_HUMAN	Q9HBI6
MP2K6_HUMAN	P52564
PRS7_HUMAN	P35998
ACTN1_HUMAN	P12814
ACTN4_HUMAN	O43707
ACTN2_HUMAN	P35609
AP2A1_HUMAN;AP2A2_HUMAN	O95782
TENR_HUMAN	Q92752
RFA2_HUMAN	P15927
RS3A_HUMAN	P61247
TCPG_HUMAN	P49368
AT1A1_HUMAN	P05023
AT1A2_HUMAN	P50993
STAB1_HUMAN	Q9NY15
ACTY_HUMAN;ACTZ_HUMAN	P42025
ACTZ_HUMAN	P61163
GORS2_HUMAN	Q9H8Y8
DC1I2_HUMAN	Q13409
LMBD2_HUMAN	Q68DH5
CA2D2_HUMAN	Q9NY47
CSKP_HUMAN	O14936
SNTA1_HUMAN	Q13424
TOIP2_HUMAN	Q8NFQ8
GNAO_HUMAN	P09471
VAMP1_HUMAN	P23763
VAMP2_HUMAN;VAMP3_HUMAN	P63027
VAMP2_HUMAN	P63027
RNH2A_HUMAN	O75792
GBF1_HUMAN	Q92538
PDIA1_HUMAN	P07237
AHSA1_HUMAN	O95433
EFTU_HUMAN	P49411
TRFL_HUMAN	P02788
SYNE2_HUMAN	Q8WXH0
SEPT5_HUMAN	Q99719
SCP2_HUMAN	P22307
LAMA1_HUMAN	P25391
ALDOA_HUMAN;CONTAMINANT_ALDOA_RABIT	P04075
COG4_HUMAN	Q9H9E3
SNUT1_HUMAN	O43290
CLH1_HUMAN	Q00610
VA0D1_HUMAN	P61421
SAMH1_HUMAN	Q9Y3Z3
LAMB1_HUMAN	P07942
PYC_HUMAN	P11498
PALD_HUMAN	Q9ULE6
PIPNB_HUMAN	P48739
NTF2_HUMAN	P61970
PRDX1_HUMAN	Q06830
CUX1_HUMAN	P39880
UTRN_HUMAN	P46939
TOM70_HUMAN	O94826
AMPH_HUMAN	P49418
BIN1_HUMAN	O00499
RHG05_HUMAN	Q13017
MYH10_HUMAN;MYH9_HUMAN	P35580
GSHR_HUMAN	P00390
B3AT_HUMAN	P02730
K319L_HUMAN	Q8IZA0
ACL6B_HUMAN	O94805
DAD1_HUMAN	P61803
SPB6_HUMAN	P35237
FKBP8_HUMAN	Q14318
LIGO1_HUMAN	Q96FE5
PHLB1_HUMAN	Q86UU1
PYRG2_HUMAN	Q9NRF8
RM24_HUMAN	Q96A35
CAH1_HUMAN	P00915
PTK7_HUMAN	Q13308
CO4A_HUMAN;CO4B_HUMAN	P0C0L4
APOD_HUMAN	P05090
COX7R_HUMAN	O14548
UBXN7_HUMAN	O94888
LHPP_HUMAN	Q9H008
PRS10_HUMAN	P62333
RSSA_HUMAN	P08865
BROX_HUMAN	Q5VW32
GRIA2_HUMAN	P42262
GRIA3_HUMAN	P42263
MAP6_HUMAN	Q96JE9
AHNK_HUMAN	Q09666
FLNB_HUMAN	O75369
IF2A_HUMAN	P05198
ABCE1_HUMAN	P61221
GSLG1_HUMAN	Q92896
AT1A2_HUMAN;AT1A4_HUMAN	P50993
AT1A1_HUMAN;AT1A3_HUMAN	P05023
TYRO3_HUMAN	Q06418
LACB2_HUMAN	Q53H82
ACY2_HUMAN	P45381
PAIP1_HUMAN	Q9H074
CNTP1_HUMAN	P78357
VPP2_HUMAN	Q9Y487
ABHDA_HUMAN	Q9NUJ1
NPM_HUMAN	P06748
SYMC_HUMAN	P56192
ENPP6_HUMAN	Q6UWR7
SPHM_HUMAN	P51688
LRC47_HUMAN	Q8N1G4
GRIK2_HUMAN	Q13002
RAB14_HUMAN	P61106
CAZA2_HUMAN	P47755
K1C14_HUMAN;sp|CONTAMINANT_P02533	P02533
OXR1_HUMAN	Q8N573
HRG_HUMAN	P04196
SORT_HUMAN	Q99523
H90B2_HUMAN;HS902_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF8
H90B2_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF8
HS90A_HUMAN;HS90B_HUMAN	P07900
HS902_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q14568
TF3C2_HUMAN	Q8WUA4
OPTN_HUMAN	Q96CV9
MYH14_HUMAN	Q7Z406
4F2_HUMAN	P08195
PWP2_HUMAN	Q15269
BORG4_HUMAN	Q9H3Q1
FLII_HUMAN	Q13045
QCR1_HUMAN	P31930
DJC13_HUMAN	O75165
APLP2_HUMAN	Q06481
MYH10_HUMAN	P35580
EHD2_HUMAN	Q9NZN4
ECHA_HUMAN	P40939
UGGG1_HUMAN	Q9NYU2
ABCB7_HUMAN	O75027
PGM1_HUMAN	P36871
TPP2_HUMAN	P29144
MX1_HUMAN	P20591
CEND_HUMAN	Q8N111
CAN5_HUMAN	O15484
AL1L1_HUMAN	O75891
GRIN1_HUMAN	Q7Z2K8
GGYF2_HUMAN	Q6Y7W6
PACN2_HUMAN	Q9UNF0
IMPA1_HUMAN	P29218
GBB4_HUMAN	Q9HAV0
RPAB3_HUMAN	P52434
EHD1_HUMAN;EHD3_HUMAN	Q9H4M9
SNP25_HUMAN	P60880
CALM2_HUMAN	P0DP24
SPTN4_HUMAN	Q9H254
CDK6_HUMAN	Q00534
DNJC5_HUMAN	Q9H3Z4
FBLN3_HUMAN	Q12805
RS14_HUMAN	P62263
IF2P_HUMAN	O60841
GRM2B_HUMAN	Q96HH9
DPYL4_HUMAN	O14531
APT_HUMAN	P07741
DDX59_HUMAN	Q5T1V6
DLGP2_HUMAN	Q9P1A6
SAFB1_HUMAN;SAFB2_HUMAN	Q15424
VAC14_HUMAN	Q08AM6
TBC9B_HUMAN	Q66K14
APOB_HUMAN	P04114
RENT1_HUMAN	Q92900
MA1B1_HUMAN	Q9UKM7
K2C6A_HUMAN	P02538
SEPT9_HUMAN	Q9UHD8
SEPT7_HUMAN	Q16181
NUFP2_HUMAN	Q7Z417
GTPB4_HUMAN	Q9BZE4
KI67_HUMAN	P46013
CAND1_HUMAN	Q86VP6
AT2B1_HUMAN;AT2B2_HUMAN;AT2B3_HUMAN;AT2B4_HUMAN	P20020
BTBDH_HUMAN	A6NE02
GEPH_HUMAN	Q9NQX3
SSRP1_HUMAN	Q08945
HACL2_HUMAN	A1L0T0
NICA_HUMAN	Q92542
BZW2_HUMAN	Q9Y6E2
CTRO_HUMAN	O14578
ITIH1_HUMAN	P19827
MTAP2_HUMAN	P11137
TIF1B_HUMAN	Q13263
DPYD_HUMAN	Q12882
IGKC_HUMAN	P01834
CAN2_HUMAN	P17655
CHM2A_HUMAN	O43633
AGAP2_HUMAN	Q99490
TIM8A_HUMAN	O60220
DCPS_HUMAN	Q96C86
TUTLB_HUMAN	Q9UPX0
CAMP3_HUMAN	Q9P1Y5
BL1S4_HUMAN	Q9NUP1
PKN1_HUMAN	Q16512
ARLY_HUMAN	P04424
DDX24_HUMAN	Q9GZR7
PAPS2_HUMAN	O95340
COMDA_HUMAN	Q9Y6G5
RS10_HUMAN	P46783
AKAP9_HUMAN	Q99996
AF1L2_HUMAN	Q8N4X5
DNJB2_HUMAN	P25686
FLNA_HUMAN	P21333
TBC15_HUMAN	Q8TC07
TRIM3_HUMAN	O75382
ARMC1_HUMAN	Q9NVT9
NCF4_HUMAN	Q15080
SPAS2_HUMAN	Q86XZ4
TRIO_HUMAN	O75962
PTPRN_HUMAN	Q16849
AR6P4_HUMAN	Q66PJ3
FGD1_HUMAN	P98174
CO8G_HUMAN	P07360
HNRL1_HUMAN	Q9BUJ2
PTPA_HUMAN	Q15257
GBRA1_HUMAN	P14867
S12A5_HUMAN	Q9H2X9
LUZP1_HUMAN	Q86V48
ANXA2_HUMAN	P07355
ITIH2_HUMAN	P19823
HDGR2_HUMAN	Q7Z4V5
PCNA_HUMAN	P12004
DC1L1_HUMAN	Q9Y6G9
NPTN_HUMAN	Q9Y639
SCN3B_HUMAN	Q9NY72
GOGA1_HUMAN	Q92805
CALX_HUMAN	P27824
RALB_HUMAN	P11234
DBNL_HUMAN	Q9UJU6
VATE1_HUMAN	P36543
CERU_HUMAN	P00450
SPART_HUMAN	Q8N0X7
RAB30_HUMAN	Q15771
SYAC_HUMAN	P49588
VATE1_HUMAN;VATE2_HUMAN	P36543
THIK_HUMAN	P09110
RCN2_HUMAN	Q14257
HIF1N_HUMAN	Q9NWT6
IFIT2_HUMAN	P09913
ITA7_HUMAN	Q13683
PLAT3_HUMAN	P53816
T132A_HUMAN	Q24JP5
NKAP_HUMAN	Q8N5F7
VAT1L_HUMAN	Q9HCJ6
TOP1_HUMAN	P11387
KLC2_HUMAN	Q9H0B6
CAC1E_HUMAN	Q15878
FUND2_HUMAN	Q9BWH2
GDIR1_HUMAN	P52565
TR150_HUMAN	Q9Y2W1
EXOS8_HUMAN	Q96B26
PHAG1_HUMAN	Q9NWQ8
UPP1_HUMAN	Q16831
ENOPH_HUMAN	Q9UHY7
SC24B_HUMAN	O95487
PHF6_HUMAN	Q8IWS0
AB1IP_HUMAN	Q7Z5R6
MAST3_HUMAN	O60307
ATX10_HUMAN	Q9UBB4
VIAAT_HUMAN	Q9H598
BCLF1_HUMAN	Q9NYF8
THOC2_HUMAN	Q8NI27
AASS_HUMAN	Q9UDR5
PTPRA_HUMAN	P18433
PARP4_HUMAN	Q9UKK3
TKFC_HUMAN	Q3LXA3
PTPRE_HUMAN	P23469
M2OM_HUMAN	Q02978
KPYM_HUMAN	P14618
ABCF3_HUMAN	Q9NUQ8
AP3D1_HUMAN	O14617
PACN1_HUMAN	Q9BY11
UBR4_HUMAN	Q5T4S7
LMNB1_HUMAN	P20700
SPTB2_HUMAN	Q01082
AGM1_HUMAN	O95394
SRGP3_HUMAN	O43295
TM9S2_HUMAN	Q99805
MOG_HUMAN	Q16653
AT2A1_HUMAN;AT2A2_HUMAN;AT2A3_HUMAN	O14983
P5CS_HUMAN	P54886
SRRT_HUMAN	Q9BXP5
VPS25_HUMAN	Q9BRG1
RABE1_HUMAN	Q15276
KTNB1_HUMAN	Q9BVA0
AGAP3_HUMAN	Q96P47
GARS_HUMAN	P41250
EH1L1_HUMAN	Q8N3D4
PUR9_HUMAN	P31939
DCTN1_HUMAN	Q14203
TMPPE_HUMAN	Q6ZT21
COPG2_HUMAN	Q9UBF2
GANAB_HUMAN	Q14697
PDC10_HUMAN	Q9BUL8
VPS35_HUMAN	Q96QK1
PRRT3_HUMAN	Q5FWE3
SOGA3_HUMAN	Q5TF21
TENS3_HUMAN	Q68CZ2
MAP1A_HUMAN	P78559
CCDC9_HUMAN	Q9Y3X0
CCDC6_HUMAN	Q16204
MA7D1_HUMAN	Q3KQU3
NEUL_HUMAN	Q9BYT8
PGTA_HUMAN	Q92696
IDI1_HUMAN	Q13907
HNMT_HUMAN	P50135
SMC3_HUMAN	Q9UQE7
DESP_HUMAN	P15924
CYBP_HUMAN	Q9HB71
PGAP1_HUMAN	Q75T13
SEC20_HUMAN	Q12981
LA_HUMAN	P05455
RS3_HUMAN	P23396
MICU3_HUMAN	Q86XE3
KIRR3_HUMAN	Q8IZU9
NDRG2_HUMAN	Q9UN36
HPLN4_HUMAN	Q86UW8
SF3B2_HUMAN	Q13435
GOGA2_HUMAN	Q08379
PSD11_HUMAN	O00231
ACSL1_HUMAN	P33121
SRC8_HUMAN	Q14247
TPD54_HUMAN	O43399
EPS15_HUMAN	P42566
MACF1_HUMAN	Q9UPN3
IQGA1_HUMAN	P46940
PALM2_HUMAN	Q9Y2D5
TPD53_HUMAN	Q16890
NOL6_HUMAN	Q9H6R4
CO4B_HUMAN	P0C0L5
CO4A_HUMAN	P0C0L4
HYI_HUMAN	Q5T013
JAM2_HUMAN	P57087
NCALD_HUMAN	P61601
GFAP_HUMAN	P14136
RIPK1_HUMAN	Q13546
AT131_HUMAN	Q9HD20
ARID2_HUMAN	Q68CP9
GATM_HUMAN	P50440
ARPC4_HUMAN	P59998
G3P_HUMAN	P04406
ZNT1_HUMAN	Q9Y6M5
TM9S4_HUMAN	Q92544
MARK2_HUMAN;MARK3_HUMAN	Q7KZI7
MARK2_HUMAN	Q7KZI7
MARK4_HUMAN	Q96L34
HEXI1_HUMAN	O94992
LPCT4_HUMAN	Q643R3
RB12B_HUMAN	Q8IXT5
LPPRC_HUMAN	P42704
PTPR2_HUMAN	Q92932
RRBP1_HUMAN	Q9P2E9
NSF_HUMAN	P46459
UBE2N_HUMAN	P61088
ARP3_HUMAN	P61158
ARP3B_HUMAN	Q9P1U1
MYO9B_HUMAN	Q13459
SQOR_HUMAN	Q9Y6N5
BSN_HUMAN	Q9UPA5
CHRD1_HUMAN	Q9UHD1
ILF3_HUMAN	Q12906
CAPS1_HUMAN	Q9ULU8
HOME1_HUMAN	Q86YM7
PARP1_HUMAN	P09874
GCC2_HUMAN	Q8IWJ2
LRRF2_HUMAN	Q9Y608
MYO1E_HUMAN	Q12965
STML2_HUMAN	Q9UJZ1
PLPP_HUMAN	Q96GD0
CP46A_HUMAN	Q9Y6A2
BSDC1_HUMAN	Q9NW68
RMD1_HUMAN	Q96DB5
NECT2_HUMAN	Q92692
RALA_HUMAN	P11233
NUMA1_HUMAN	Q14980
DDAH1_HUMAN	O94760
DOCK9_HUMAN	Q9BZ29
CDS2_HUMAN	O95674
RTN4_HUMAN	Q9NQC3
SL9A6_HUMAN	Q92581
P4R3A_HUMAN	Q6IN85
SHOT1_HUMAN	A0MZ66
ANLN_HUMAN	Q9NQW6
SMC1A_HUMAN	Q14683
HEMH_HUMAN	P22830
ACINU_HUMAN	Q9UKV3
AFAM_HUMAN	P43652
NFM_HUMAN	P07197
WDR44_HUMAN	Q5JSH3
FCHO2_HUMAN	Q0JRZ9
SEH1_HUMAN	Q96EE3
LIPA3_HUMAN	O75145
LIPA2_HUMAN;LIPA4_HUMAN	O75334
L2GL1_HUMAN	Q15334
DNLI1_HUMAN	P18858
F1142_HUMAN	Q9NRY5
LAMB2_HUMAN	P55268
NRCAM_HUMAN	Q92823
NPL4_HUMAN	Q8TAT6
GIT1_HUMAN	Q9Y2X7
FA5_HUMAN	P12259
GET4_HUMAN	Q7L5D6
SF3B3_HUMAN	Q15393
DLDH_HUMAN	P09622
BZW1_HUMAN	Q7L1Q6
SYMPK_HUMAN	Q92797
NF1_HUMAN	P21359
PCCA_HUMAN	P05165
MAGI3_HUMAN	Q5TCQ9
MYEF2_HUMAN	Q9P2K5
CTNA1_HUMAN	P35221
STA5A_HUMAN;STA5B_HUMAN	P42229
SLK_HUMAN	Q9H2G2
NUP98_HUMAN	P52948
KCAB2_HUMAN	Q13303
ANKH1_HUMAN	Q8IWZ3
ADPPT_HUMAN	Q9NRN7
KCC1A_HUMAN;KCC1D_HUMAN	Q14012
ECHM_HUMAN	P30084
RADI_HUMAN	P35241
TCPE_HUMAN	P48643
TCPD_HUMAN	P50991
TSP4_HUMAN	P35443
IPYR2_HUMAN	Q9H2U2
NAA35_HUMAN	Q5VZE5
TTL12_HUMAN	Q14166
PCBP1_HUMAN;PCBP2_HUMAN	Q15365
PTGES_HUMAN	O14684
CD36_HUMAN	P16671
IPO7_HUMAN	O95373
ARRB1_HUMAN	P49407
SYYC_HUMAN	P54577
JIP4_HUMAN	O60271
CO5_HUMAN;CONTAMINANT_CO5_HUMAN	P01031
NUP93_HUMAN	Q8N1F7
LAMC1_HUMAN	P11047
RT23_HUMAN	Q9Y3D9
GDPD1_HUMAN	Q8N9F7
NDUBA_HUMAN	O96000
PGM2_HUMAN	Q96G03
CALL5_HUMAN	Q9NZT1
QCR9_HUMAN	Q9UDW1
ACLY_HUMAN	P53396
APAF_HUMAN	O14727
CLCC1_HUMAN	Q96S66
FND3A_HUMAN	Q9Y2H6
OLA1_HUMAN	Q9NTK5
ARFG1_HUMAN	Q8N6T3
ECE1_HUMAN	P42892
CALB1_HUMAN	P05937
PCCB_HUMAN	P05166
LMO7_HUMAN	Q8WWI1
